region_id	0_ID	1_Outer_cell_layer(nm)	2_Nucleus	3_Trichocysts	4_Chloroplast	5_Plastoglobuli	6_Pusule	7_Food_vacuole	8_Starch	9_Crystalline_compartment	10_Large_vacuole	11_CBB/flagella	12_Symbiosis/parasitism/Prey/2=Kleptoplastidism	13_Reticulated_network	14_Electron_dense_sheets	15_Tubular_network	16_Rhabdosomes_and_alike_structure	17_eyespot/mt_array	19_Presumed_ID	18_NI_a_z	20_Area(nm^2)
1	VSM20_A2_PM1_001	0	1	1	1	0	1	0	6	0	0	0	0	1	0	0	0	1	Triadinium_sphaericum_sp	d,r	105060000000
2	VSM20_A2_PM1_002	0	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	Triadinium_sphaericum_sp	d,r	63229000000
3	VSM20_A2_PM1_003	0	1	1	1	0	1	0	5	0	0	0	0	1	0	0	0	1	Triadinium_sphaericum_sp	d,r	125380000000
4	VSM20_A2_PM1_004	0	1	1	0	0	1	1	0	0	0	0	0	1	1	1	0	0	Pseudalatosphaera_corsica_sp	x	113090000000
5	VSM20_A2_PM1_005	0	0	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	Paleophalacroma_sp	r	15014000000
6	VSM20_A2_PM1_006	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	Triadinium_sphaericum_sp	d,r,s	81937000000
7	VSM20_A2_PM1_007	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	Protoperidinium_sp	p,r	207900000000
8	VSM20_A2_PM1_008	0	0	1	1	1	0	0	6	1	0	0	0	1	0	0	0	0	NI	r	107450000000
9	VSM20_A2_PM1_009	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	NI	r	69696000000
10	VSM20_A2_PM1_010	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	NI	x	40397000000
11	VSM20_A2_PM1_011	0	1	1	1	2	1	1	14	1	0	0	0	1	0	0	0	0	NI	r	161180000000
12	VSM20_A2_PM1_012	0	1	1	0	0	1	0	0	1	0	1	0	1	0	0	0	0	NI	x	353550000000
13	VSM20_A2_PM1_013	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	NI	w,r	176100000000
14	VSM20_A2_PM1_014	0	1	1	0	0	0	0	9	0	0	0	1	0	1	0	0	0	Protoperidinium_sp	x	323770000000
15	VSM20_A2_PM1_015	0	1	1	0	0	1	0	0	0	0	1	0	0	1	1	0	0	Protoperidinium_sp	x	264030000000
16	VSM20_A2_PM1_016	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	NI	r	146540000000
17	VSM20_A2_PM1_017	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	NI	x	161020000000
18	VSM20_A2_PM1_018	0	1	1	0	0	1	0	0	0	1	0	0	0	1	1	0	0	Protoperidinium_sp	r	226640000000
19	VSM20_A2_PM1_019	0	1	1	1	2	0	1	0	1	0	0	0	0	0	0	0	0	NI	x	538150000000
20	VSM20_A2_PM1_020	0	1	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	NI	x	302860000000
21	VSM20_A2_PM1_021	0	1	1	0	0	1	0	0	0	1	0	0	0	1	1	0	0	Protoperidinium_sp	x	201090000000
22	VSM20_A2_PM1_022	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	NI	r	28054000000
23	VSM20_A2_PM1_023	0	1	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	NI	x	109590000000
