0_ID;imagePath;1_Outer_cell_layer(nm);2_Nucleus;3_Trichocysts;4_Chloroplast;5_Plastoglobuli;6_Pusule;7_Food_vacuole;8_Starch;9_Crystalline_compartment;10_Large_vacuole;11_CBB/flagella;12_Symbiosis/parasitism/Prey/2=Kleptoplastidism;13_Reticulated_network;14_Electron_dense_sheets;15_Tubular_network;16_Rhabdosomes_and_alike_structure;17_eyespot/mt_array;19_Presumed_ID;18_NI_a_z;a;b;c;d;e;f;g;h;i;j;k;l;m;n;o;p;q;r;s;t;u;v;w;x;y;z;20_Area(nm^2)
VSM21-A2-PM1-001;images/VSM-A2-001.png;240;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;x;x;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;172980000000
VSM21-A2-PM1-002;images/VSM-A2-002.png;9;1;1;1;20;0;0;0;0;0;0;2;0;0;0;0;0;x;b;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;498310000000
VSM21-A2-PM1-003;images/VSM-A2-003.png;1000;1;1;1;48;1;1;1;1;0;1;2;0;0;0;0;0;x;r;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;323580000000
VSM21-A2-PM1-004;images/VSM-A2-004.png;2391;0;1;1;10;0;0;1;0;0;0;0;0;0;0;0;0;Prorocentrum;c;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;246860000000
VSM21-A2-PM1-005;images/VSM-A2-005.png;945;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;x;i,r;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;96704000000
VSM21-A2-PM1-006;images/VSM-A2-006.png;1231;0;1;1;4;0;0;1;1;0;0;0;0;0;0;0;0;x;i,r;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;132160000000
VSM21-A2-PM1-007;images/VSM-A2-007.png;54;0;1;1;3;0;0;1;0;0;0;0;0;0;0;0;0;x;x;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;146140000000
VSM21-A2-PM1-008;images/VSM-A2-008.png;2249;1;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;Prorocentrum;a;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;315050000000
VSM21-A2-PM1-009;images/VSM-A2-009.png;10;1;1;1;4;1;0;0;0;1;0;0;0;0;0;0;0;Cochlodinium;u;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1255800000000
VSM21-A2-PM1-010;images/VSM-A2-010.png;101;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;x;x;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;61752000000
VSM21-A2-PM1-011;images/VSM-A2-011.png;43;1;1;1;10;0;0;1;0;0;0;0;0;0;0;0;0;x;x;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;155350000000
VSM21-A2-PM1-012;images/VSM-A2-012.png;1728;1;1;0;0;1;0;0;0;1;0;0;0;1;1;0;1;Pseudalatosphaera_corsica_sp;x;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;656240000000
VSM21-A2-PM1-013;images/VSM-A2-013.png;3081;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;Prorocentrum;a;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;125570000000
VSM21-A2-PM1-014;images/VSM-A2-014.png;1752;0;1;1;13;1;1;1;1;1;0;0;0;0;0;0;1;Protoperidinium;g,r;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;432800000000
VSM21-A2-PM1-015;images/VSM-A2-015.png;2220;0;1;1;1;0;0;1;0;1;0;0;0;0;0;0;0;Triadinium_sphaericum_sp;d;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;115660000000
VSM21-A2-PM1-016;images/VSM-A2-016.png;585;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;x;x;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;36628000000
VSM21-A2-PM1-017;images/VSM-A2-017.png;59;1;1;1;8;0;1;1;0;0;0;0;0;0;0;0;0;x;g;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;184090000000
VSM21-A2-PM1-018;images/VSM-A2-018.png;1417;0;1;1;9;1;0;0;0;0;0;0;1;0;0;0;0;Triadinium_sphaericum_sp;d,r;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;235340000000
VSM21-A2-PM1-019;images/VSM-A2-019.png;576;1;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;x;x;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;337870000000
VSM21-A2-PM1-020;images/VSM-A2-020.png;63;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;x;r;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;191070000000
VSM21-A2-PM1-021;images/VSM-A2-021.png;581;1;1;1;8;0;0;0;1;0;0;0;0;1;0;0;0;x;q,r;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;112180000000
VSM21-A2-PM1-022;images/VSM-A2-022.png;232;1;1;1;0;0;1;0;1;0;1;1;1;0;0;0;0;Oxytoxum;j,r;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;56228000000
VSM21-A2-PM1-023;images/VSM-A2-023.png;1309;1;1;1;2;1;0;1;0;1;0;0;0;0;0;0;0;Prorocentrum;b,c;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;406280000000
VSM21-A2-PM1-024;images/VSM-A2-024.png;1555;0;1;1;8;0;0;0;0;1;0;0;1;0;0;0;0;Triadinium_sphaericum_sp;d,e,r;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;152710000000
VSM21-A2-PM1-025;images/VSM-A2-025.png;1383;1;1;1;2;1;0;0;0;0;0;0;1;0;0;0;0;Triadinium_sphaericum_sp;d,e,r;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;323660000000
VSM21-A2-PM1-026;images/VSM-A2-026.png;51;0;0;0;0;1;1;0;1;0;1;1;0;1;0;0;1;x;x;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;84920000000
VSM21-A2-PM1-027;images/VSM-A2-027.png;136;0;1;1;11;0;0;1;0;0;0;0;0;0;0;0;0;x;x;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;106690000000
VSM21-A2-PM1-028;images/VSM-A2-028.png;1101;1;1;1;3;1;1;0;0;0;0;0;1;0;0;0;1;Triadinium_sphaericum_sp;d,e,r,s;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;407750000000
VSM21-A2-PM1-029;images/VSM-A2-029.png;1106;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;x;i;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37998000000
