region_id	0_ID	1_Outer_cell_layer(nm)	2_Nucleus	3_Trichocysts	4_Chloroplast	5_Plastoglobuli	6_Pusule	7_Food_vacuole	8_Starch	9_Crystalline_compartment	10_Large_vacuole	11_CBB/flagella	12_Symbiosis/parasitism/Prey/2=Kleptoplastidism	13_Reticulated_network	14_Electron_dense_sheets	15_Tubular_network	16_Rhabdosomes_and_alike_structure	17_eyespot/mt_array	19_Presumed_ID	18_NI_a_z	20_Area(nm^2)
0	VSM21_A3_AM2_001	195	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	x	x	34548123318
1	VSM21_A3_AM2_002	41	1	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	x	g	202215619936
2	VSM21_A3_AM2_003	98	1	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	x	x	118850128553
3	VSM21_A3_AM2_004	191	1	1	1	0	0	0	1	1	0	1	0	0	0	0	0	0	x	x	53272596878
4	VSM21_A3_AM2_005	149	0	1	1	6	0	0	0	0	0	0	0	0	0	0	0	0	x	i	39223304823
5	VSM21_A3_AM2_006	56	0	1	1	18	1	0	1	0	1	0	0	0	0	0	0	0	x	r	531969249726
6	VSM21_A3_AM2_007	1466	1	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	Prorocentrum	a,r	355083701045
7	VSM21_A3_AM2_008	44	1	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	x	x	164504292531
8	VSM21_A3_AM2_009	59	0	1	1	2	0	1	0	1	0	0	0	0	0	0	0	0	x	x	124466582405
9	VSM21_A3_AM2_010	155	0	1	0	0	1	1	0	0	1	0	0	0	1	1	0	1	x	x	169984407289
10	VSM21_A3_AM2_011	42	0	1	0	0	0	1	1	0	0	0	1	1	1	0	0	0	x	x	287353418430
11	VSM21_A3_AM2_012	44	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	x	x	162301288039
12	VSM21_A3_AM2_013	28	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	x	h	133541272798
13	VSM21_A3_AM2_014	18	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	x	a,r	148363587522
